name,gender ,year_of_birth,color,height_cm,Studbook,ueln,fei id,Microchip ,breeder ,owner,sire,dam,
CAPPUCCINO VAN PAEMEL Z,Stallion ,2019,BAY,148,ZANG,056015Z55211519,109LJ48,967000010167120A,STOETERIJ VAN PAEMEL BVBA,MRS. EVA BODEN-BOTTENHEFT,CASALL,BETINA VAN PAEMEL,
,,,,,,,,,,,,,
DEVON TURFHORST,Stallion ,2020,CHESTNUT ,151,NRPS,528017202000606A,,528210006236259A,DHR. J.W. VAN KLAARBERGEN,DHR. R. SLOOF,,,
,,,,,,,,,,,,,
FORSYTH JUNIOR Z,GELDING,2016,BAY,155,ZANG,056015Z55695316,,528210004436945A,MW. COLET VAN VLIET,MW. COLET VAN VLIET,FORSYTH,ELLACARIE,
,,,,,,,,,,,,,
FRIEDRICHSHOF KENTS DIAMOND,Stallion ,2021,BLACK,148,NRPS,276456560476621A,,276020000798459A,MR. DELE SOWOLOW,LAURA QUINT DRESSAGE,KNOWS NAGANO,CHESTNUT COURT REDSKIN,
,,,,,,,,,,,,,
GOLDEN STAR G,Stallion ,2019,DUN /FALCO,148,NRPS,276456560059719A,,276020000741900A,BELIEVE COMMUNITY,WINDHORSE DRESSAGE B.V.,GOLDEN GREY NRW,MA CÉHRIE,
,,,,,,,,,,,,,
GRUYTER'S BRUNO MARS,Stallion ,2015,CHESTNUT ,148,NNFPS,528018020151086A,108EM38,528210004109557A,STAL HET GRUYTER,STAL HET GRUYTER,MELLE BRUNO,HOPPENHOF'S MANDY,
,,,,,,,,,,,,,
MADE IN HOLLAND ACB,Stallion ,2018,BAY,153,NRPS,276443430008218A,,276020000637627A,ACB DRESSUUR,D&R SPORTPONY'S,FS MR. RIGHT,GIULIETTA ACB,
,,,,,,,,,,,,,
MESSENGER VAN DE KOETSIERSHOEVE,Stallion ,2016,BAY,147,,276484840059016A,,276020000475609A,VOF STAL KOETSIERSHOEVE,VOF STAL KOETSIERSHOEVE,MERLIJN VAN DEN BISSCHOP,CAPRIOLE BEVS,
,,,,,,,,,,,,,
MY DJOKER HPH,Stallion ,2022,PALOMINO,142,NRPS,528008202200091A,,528210006576260A,MW. M. HUISMAN,MEVR. ESTHER POSTMUS,ASTERHOF'S MAGIC GOLD,ANOUSKA B.R.,
,,,,,,,,,,,,,
OKÉ KANTJE'S SPACE JAM,Stallion ,2022,PALOMINO,146,NNFPS,528018020221167A,,528210006443973A,E. VAN DE RAKT,HENGSTENHOUDERIJ JOS & TRUDI HOUWEN  ,BORGERHOF'S ORION,KANTJE'S AMERICAN BEAUTY,
,,,,,,,,,,E. VAN DE RAKT,,,
A NEW ZENTO,Stallion ,2020,PALOMINO,140,WESTF,276441410596220A,,276020000747932A,FRANZ JOSEF & PETER GILSBACH,MEVR. FLEUR EIJERKAMP,A NEW STAR I NRW,ZOE,
,,,,,,,,,,,,,
BUMBA JK,Stallion ,2020,DARK BAY,145,NWPCS,528017202000608A,,528210006237054A,G.P. KAPMA,JK STABELS,BEAUTY W,MADAM'S MELANIE,
,,,,,,,,,,,,,
COCA-COLA,GELDING ,2018,SMOKEY,148,NRPS,528008201800296A,,528210004851296A,MW. W.D GILS,HOLSTUD,COELENHANGE'S PURIOSO,PEPSI,
,,,,,,,,,,,,,
COELENHANGE'S CHAPLIN,Stallion ,2020,CHESTNUT ,147,NWPCS,528017202000599A,,528210006236052A,DHR. STAL COELEHAGE,STOETERIJ TURFHORST,LEUNS VELD'S LORD,COELENHAGE'S CAMPARI,
,,,,,,,,,,,,,
CREAM DE LUXE DV,Stallion ,2019,PERLINO,148,NRPS,528017201900125A,,528210004917732A,K. DE VIRES,MEVR. HARTE HASSELBACH,CASSANOVA DU BOIS,SABINE,
,,,,,,,,,,,,,
D&R SPORTPONY'S DYNAMITE,Stallion ,2019,DUN/FALCON,147,NWPCS,528017201900208A,,528210006022059A,R.K VAN TENT,D&R SPORTPONY'S,SPEYKSBOSCH DICKENS,LISA'S MIRACLE,
,,,,,,,,,,,,,
D&R SPORTPONY'S NIGHT PRINCE,Stallion ,2019,BAY,148,NRPS,528017201900504A,,528210006021732A,MW. STAL JESSICA VAN DEN BERG,D&R SPORTPONY'S,NIGHTFEVER II,ORCHARD JR SPRINTZE,
,,,,,,,,,,,,,
DAVINCI DU BOIS,Stallion ,2016,PALOMINO,148,NRPS,276443430017116A,,276020000401342A,A.C.M. VAN DEN BOSCH,A.C.M. VAN DEN BOSCH,DIAMOND TOUCH NRW,CHAR DU BOIS,
,,,,,,,,,,,,,
DON CREMELLO DU BOIS,Stallion ,2007,CREMELLO,149,NRPS,528008070181207A,,528210002022062A,STOETERIJ DU BOIS,A.C.M. VAN DEN BOSCH,DER HARLEKIN B,GOLDEN ISHA DU BOIS,
,,,,,,,,,,,,,
DUCATI DU BOIS,Stallion ,2017,CREMELLO,143,NRPS,276443430805017A,,276020000466990A,A.C.M. VAN DEN BOSCH,JAILEY KRAAK,DIAMOND TOUCH NRW,CARICE DU BOIS,
,,,,,,,,,,,,,
GERONIMO TAONGA,Stallion ,2019,PALOMINO ,146,WESTF ,276441411080619A,,276020000639070A,STAL 104,PRONK STABLES,GOLDEN WEST,DAYLIGHT ,
,,,,,,,,,,,,,
GOLDEN ADVENTURE,Stallion ,2022,BAY,147,WESTF ,276434340017122A,109CA50,276020000844600A,MATTHIAS KLATT,STALL NIEUWMOED& MARLENA BRENNER,GOLDEN GREY NRW,DREAM GIRL K,
,,,,,,,,,,,,,
GOLDWIN'S HOEVE'S DREAMY,Stallion ,2021,PERLINO ,144,NRPS,528008202100227A,,528210006315751A,MEVR. HILDE DRENT,DHR. G. HEMMES,DAVINCI DU BOIS,RIFEI HELLO IT'S ME,
,,,,,,,,,,,,,
HANIA'S MEMPHIS,Stallion ,2019,BAY,147,NWPCS,528017201900002A,,528210006021286A,MEVR. I. ELGERSMA-WIND,STOETERIJ TURFHORST,JONKERS' JAYDEN,REDUSTER CHANTAL,
,,,,,,,,,,,,,
HARVEY'S DREAM OF GOLD,Stallion,2020,DUN/FALCO,147,NRPS,52800820200036A,-,528210004979862A,STAL DE HEIMOLEN,STALL DE GRUYTER,HESSELTEICH'S GOLDEN DREAM,BELICIA,
,,,,,,,,,,,,,
HEER ORCHARD BOLSHOI,Stallion ,2011,BAY,150,NWPCS,528017201100481A,-,528210002683329A,MW. STAL ORCHARD,R&J BUITENHUIS,HEITRAK'S MARVIN,ORCHARD SWETLANA,
,,,,,,,,,,,,,
HEIDE'S MOUNTAIN MILFORD,Stallion ,2021,BAY,148,NWPC,528017202100066A,-,528210006236643A,M.M.G. VAN GERVEN,STAL NIEUWMOED,NIEUWMOED'S MILORD,BLOMMERSCHOT'S ULTIMATE,
,,,,,,,,,,,,,
ISALA'S WHITE FOX,Stallion,2020,,152,NRPS,528008202000435A,-,528210006256538A,ISALA APPALOOSA'S,ISALA APPALOOSA'S,LEUNS VELD'S WINSTON JR,ISALA'S SOLÈNE,
,,,,,,,,,,,,,
ISALA'S WHITE GOLD,Stallion ,2018,,148,NRPS,528008201800395A,-,528210004874402A,ISALA APPALOOSA'S,ISALA APPALOOSA'S,LEUNS VELD'S WINSTON JR,ISALA'S SOLÈNE,
,,,,,,,,,,,,,
JUPILER'S RED BULL S,Stallion ,2021,BAY,148,NRPS,528017202100167A,-,528210006443818A,H. SMILDA,H. SMILDA,SPOORZICHT'S JUPILER,MEMORY S,
,,,,,,,,,,,,,
KASHMIR VAN EQUI CENTER,Stallion,2021,BAY,145,NRPS,528008202100295A,-,528210006340383A,EQUI CENTER,EQUI CENTER,KASANOVA VAN KLAVERBORCH,SHANYA VAN EQUI CENTER,
,,,,,,,,,,,,,
KASPER VAN EQUI CENTER,Stallion ,2018,DARK BAY,146,NRPS,528008201800413A,-,528210004850519A,EQUI CENTER,WILLIAM EN GWEN BLEYS-JANSEN,KASANOVA VAN KLAVERBORCH,JOLY'S ANGIE,
,,,,,,,,,,,,,
KNOCK OUT ,Stallion ,2001,BAY,146,NRPS,NPA 212245.01,NED41123,528210000555391A,MW. INA MAJOOR-SCHIPHOF,MW. A. KEIJ,KRIMH OX,SHANNON VAN DE BOSSENHOEVE,
